,artist_name,track_name,release_date,genre,lyrics,len,dating,violence,world/life,night/time,shake the audience,family/gospel,romantic,communication,obscene,music,movement/places,light/visual perceptions,family/spiritual,like/girls,sadness,feelings,danceability,loudness,acousticness,instrumentalness,valence,energy,topic,age
33,frankie laine,necessary evil,1951,pop,come motherfucker spit shit minutes chillin bitchin stuff frankly dont fuck intimate feel stuff feel like sit duck fuel cause theres weakness step fuckin bitch wanna test better caution extra warn mar yeah second horseman kill justify like family diss rest swaggin like rockstar limitless horrorcore bear mister death envy bitterness play rough fool piss presence perfect line spit sentence bless excrements holy shit endin want fight victim vengeance hook kill stone smother know flow super flow like fuckin know soul brother life like cover come punisher know gold hustlah pirate mafakka throath cutter know amazin controllin time space ancient mind razor rhyme alien laser eye cold roll dice crush glacier size fadin live high bitch think say straight think say clearly evil evil necessary prayers virgin diss hospital cemetary leave vast speculation quit rappin wack reputation write everyday lack termination education come motherfucker wanna packin chattin braggin demon rappin blastin smashin kickin jabbin peak game feel swaggin superrap flow little taste embrace feelin like waste greatest create dream replace fake reach overaged,173,0.000626566,0.244358076,0.083569966,0.000626566,0.013375427,0.022181143,0.000626566,0.109128971,0.458983741,0.000626566,0.000626566,0.000626566,0.000626566,0.000626566,0.000626566,0.032580842,0.522365428,0.528728559,0.85240949,0,0.408491344,0.153126704,obscene,0.985714286
34,ghantasala,kanugona galano,1951,pop,work morning flight watch even burn away tear life leave trouble door leave know hold go leave strand grind hear heart music end learn away hear heart music end learn away maybe think think know know heart feel like garbo late night grande hotel live hold go leave strand grind hear heart music end learn away hold go leave strand grind hear heart music end learn away hear heart music end learn away,73,0.000785546,0.000785546,0.150690869,0.000785546,0.000785546,0.000785546,0.000785546,0.090114231,0.000785546,0.173310618,0.000785546,0.085106248,0.000785546,0.000785546,0.445468796,0.045097139,0.46929492,0.74566059,0.921686668,0.581983806,0.611500412,0.602590191,sadness,0.985714286
36,les paul,the carioca,1951,pop,see carioca foxtrot polka little rhythm blue rhythm sigh meter tricky wicked wackywicky dance true dream carioca theme kiss sigh dream carioca music light go goodbye head better head dance begin arm lips carioca care polka realize blue hula bamboola tomorrow morning discover carioca lover dance true dream carioca theme kiss sigh dream carioca music light go say goodbye goodbye,60,0.001253133,0.001253133,0.081359733,0.001253133,0.001253133,0.030950545,0.38456788,0.001253133,0.001253133,0.111922405,0.001253133,0.270506517,0.001253133,0.001253133,0.001253133,0.049284711,0.55052529,0.682409045,0.49598343,0.504048583,0.849546579,0.642631482,romantic,0.985714286
37,les paul,chicken reel,1951,pop,hahaha alright yeah alright even shoot complain things go want clich̩ life easy tough easy whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna thing dreamer think uncool preach better life learn school life live come life life easy tough life easy whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna things right need fighta life nicea elders polite hurt forget smile nation small good reward unite stand divide fall smile face greet life easy tough easy whatcha gonna whatcha gonna smile face world better place smile face whatcha gonna whatcha gonna smile face alright world better place smile face whatcha gonna whatcha gonna smile face yeah world better place smile face whatcha gonna whatcha gonna smile face smile world better place smile face yeah whatcha gonna whatcha gonna people smile hate screw lot happiness rasta know wish coulda come jamaica honolulu smile face good smile smile fine know vibes smile give inside smile look beautiful like come haha dimple cute hahaha happiness zeen smile,199,0.000348554,0.018417244,0.391878709,0.000348554,0.025737245,0.000348554,0.000348554,0.000348554,0.000348554,0.000348554,0.000348554,0.000348554,0.000348554,0.294650384,0.034922425,0.026084213,0.636087945,0.640335359,0.483935225,0.791497976,0.745465787,0.521506578,world/life,0.985714286
40,les paul,blue skies,1951,pop,blue sky smile blue sky bluebirds sing song bluebirds long shin bright things go right notice days hurry blue days go blue sky blue sky smile blue sky shin bright things go right notice days hurry blue days go blue sky blue sky,43,0.001385042,0.001385042,0.001385042,0.065506615,0.001385042,0.001385042,0.001385042,0.001385042,0.001385042,0.600632946,0.001385042,0.249153689,0.001385042,0.001385042,0.001385042,0.063931126,0.635004874,0.604876548,0.991967863,0.847165992,0.462077494,0.284261931,music,0.985714286
44,les paul,dark eyes,1951,pop,light bright dark shit backstage alright cause tons trays tons smoke cars tons pain slice skin break heart religion second highs like badminton bathrooms hide flask bag good girls act kill hardly stronger single hour pass feel longer yeah hour glass pour grain get smaller drink come quicker star smoke cloud look like autumn tree pretty color black thoughts eye bloodshot music note know feel skin lick feel high kill drink girl smell sweet whiskey breath throw death girl sweet sexy mess throw death death death death death death death death death death feel feel motto take pills real need slow life like time lapse drug run time pass tell fuck need help young live life seat belt middle ocean pick seashells give detail live hell doubt time fuck feet fell california bear raise single female surf guess email tell stop need swear know felt pain pain killers wash away rain rain fall spot get go shoot maybe heart stop girl smell sweet whiskey breath throw death girl sweet sexy mess throw death death death death death death death death death death,182,0.000358038,0.378118791,0.030934211,0.000358038,0.025127185,0.000358038,0.032534324,0.019480574,0.093724547,0.000358038,0.135551504,0.05895109,0.000358038,0.084994333,0.066821827,0.043335426,0.602512726,0.577237648,0.99297188,0.874493927,0.609439406,0.291269157,violence,0.985714286
53,asha bhosle,kotha mukunda,1952,pop,wander garden fence say bring great expense potion guarantee bring relief suffer say exist grasp firmly wrist throw strap torture rack argument mind bend course devious torment worse say speak voice weak tongue blame maybe speak shame brain idle think hasten reply like fool believe think somebody leave,48,0.002024292,0.432396311,0.002024292,0.002024292,0.002024292,0.002024292,0.002024292,0.463594027,0.002024292,0.002024292,0.002024292,0.002024292,0.032489034,0.002024292,0.002024292,0.041156255,0.379399978,0.542060867,0.984939744,0.572874494,0.433223413,0.28826606,violence,0.971428571
54,asha bhosle,awaz deta hai sola ka din,1952,pop,easier bitch leave happier face upstairs agonna stomp shout door gonna throw laundry hold shotgun dosido want cyrano easier bitch go little miss little miss little miss wrong little miss little miss little miss wrong gonna sound gong little miss little miss little miss wrong whatcha roll songs people thoughts handmedowns simply turn cook nice brain surgery mama awith monkey wrench little miss little miss little miss wrong gonna sound gong little miss little miss little miss wrong whatcha roll songs yeah wrong wrong wrong wrong wrong cigarettes gonna cough hear song piss fine dollar ninetynine little miss little miss little miss wrong gonna sound gong little miss little miss little miss wrong whatcha roll songs little miss little miss little miss little miss wrong wrong wrong wrong little miss little miss little miss little miss wrong wrong little miss little miss little miss little miss wrong yeah,148,0.000431406,0.031303771,0.000431406,0.000431406,0.016905991,0.30960022,0.005947658,0.000431406,0.05584699,0.072208893,0.000431406,0.000431406,0.000431406,0.000431406,0.000431406,0.426457168,0.499620925,0.673743045,0.996987949,0.000578947,0.703215169,0.240216511,feelings,0.971428571
56,mohammed rafi,jahan men log sachhe ashikon ko,1952,pop,park bag pack kind heart look comfortable glow porch word come undo face ghost decide inside burn need kill breathe hold hand search breath leave hop someday breathe breathe open secrets truth distance shelter come view hang head break heart build tear apart burden anymore need kill breathe hold hand search breath leave hop someday breathe hurt want hurt go need kill breathe hold hand search breath leave hop someday breathe breathe need kill breathe hold hand search breath leave hop someday breathe breathe,84,0.000692521,0.392820752,0.000692521,0.000692521,0.043831994,0.000692521,0.070650423,0.000692521,0.000692521,0.000692521,0.000692521,0.033295195,0.000692521,0.000692521,0.435350723,0.000692521,0.540777645,0.661513217,0.986947778,0,0.598103875,0.252228898,sadness,0.971428571
57,ghantasala,avanee nee pathi,1952,pop,feel take moment feel force veiny point tear hold point point clean stable face stay face fact fine say fine remember head manna hell drug need little think take like grow cry pavement hop face hear thing say couple days seat shake ask felt alright want hear truth want hear voice sound fine voice sound fine feel heartbeat take moment sleep alright veiny selfish fear restless night restless night blood sober feel audible crack tell curtain hang neck realize perfect teeth rip head look like paint know thoughts tire leak intact pray think angels end ambulances lord show dream daughter cry inside stomach felt,104,0.000626566,0.336364873,0.11028796,0.050450745,0.000626566,0.031718443,0.000626566,0.13830557,0.000626566,0.000626566,0.054813454,0.000626567,0.026879997,0.128432056,0.059251738,0.037602766,0.363153904,0.471732944,0.966867437,0.23582996,0.420857378,0.343322835,violence,0.971428571
58,ghantasala,ee jagamantha natika,1952,pop,know baby hang touch weak strong know cope down stay need roses right arm sweet thorns know touch weak strong know cope down stay need touch weak strong know cope down stay need touch weak strong know cope down stay need,41,0.038509374,0.001644737,0.001644737,0.129279624,0.103837843,0.001644737,0.393470673,0.264268852,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.049252056,0.440051987,0.606004666,0.978915641,0.000776316,0.794929926,0.399380641,romantic,0.971428571
62,les paul,smoke rings,1952,pop,tell smoke ring blow night circle blue white picture dream fade phantom parade care away night blow blow silky little ring little smoke ring care away night blow blow silky little ring little smoke ring,35,0.001644737,0.001644737,0.001644737,0.001644737,0.001644737,0.154668129,0.001644737,0.001644737,0.128530391,0.365302801,0.001644737,0.256757412,0.001644737,0.001644737,0.07171495,0.001644737,0.432470486,0.665307797,0.887550088,0.000154858,0.242580379,0.376356899,music,0.971428571
64,mukesh,hum tujhse mohabbat kar ke,1952,pop,fly high sing good bring sing like brother tell wanna cause wanna sing song wanna arm night long wanna know wanna peaceful feelin home summer thunder moonbright days northern light sky ablaze bring lover sing silver wing fiery trail sing bring wanna sing wanna sing song wanna arm night long wanna know wanna peaceful feelin home wanna sing song wanna arm night long wanna know wanna peaceful feelin home wanna peaceful feelin home,73,0.000809717,0.000809717,0.000809717,0.000809717,0.000809717,0.017869249,0.074873285,0.033341339,0.000809717,0.38372097,0.000809717,0.144411369,0.000809717,0.000809717,0.000809717,0.083151777,0.701072241,0.707073815,0.861445644,0.004838057,0.60016488,0.199174188,music,0.971428571
65,lata mangeshkar,paas nahin aaiye haath na lagaiye,1952,pop,letter straight heart near apart night write memorize line kiss sign darling read right start letter straight heart,18,0.002923977,0.002923977,0.002923977,0.319656885,0.002923977,0.002923977,0.176354205,0.002923977,0.002923977,0.260383754,0.002923977,0.002923977,0.002923977,0.002923977,0.199745507,0.002923977,0.44871656,0.655231649,0.766064022,0,0.858821105,0.541527223,night/time,0.971428571
66,lata mangeshkar,main na janoon,1952,pop,watch sunrise tropic isle pyramid nile remember darlin belong market place algiers send photograph souvenirs remember dream appear belong maybe lonesome blue ocean silver plane jungle rain remember home belong ocean silver plane jungle rain remember home belong,38,0.04505231,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.002105263,0.046167708,0.002105263,0.555732397,0.002105263,0.260366649,0.002105263,0.002105263,0.002105263,0.002105263,0.610094227,0.61402969,0.952811198,0.923076923,0.914468261,0.335314576,music,0.971428571
68,asha bhosle,gullyachi shapath,1952,pop,fuck fuck fuck rise fuck bitch know power face fuckin cowards wanna disembowel hour home smoke joint beat shower dispose evidence couple downers know know friends high drink drive innocent fool smile cause punk blow block nigga motherfucker fuck motherfucker punk bitch punk motherfucker motherfucker motherfucker motherfucker high motherfucker high motherfucker high ride motherfucker motherfuckin meet park pussy semper ready fight amendment right guarantee regardless shit like night grab spit shit spite push button fuck recite poems mean shed light hypocrites sodomites incite riot twilight zone tonight cause fuck shut fuck straight punk blow block fuck life cold hell control insecure know fuck immature try grow hydro power bring twin tower gather qaeda cowards burn hell deserve know fuck brother berg shut fuck straight punk blow block,127,0.000692521,0.04070609,0.000692521,0.028726069,0.000692521,0.000692521,0.000692521,0.000692521,0.688167146,0.000692521,0.064938133,0.122569036,0.000692521,0.000692521,0.000692521,0.000692521,0.776887252,0.623336666,0.985943761,0.029149798,0.941261336,0.452435351,obscene,0.971428571
70,lata mangeshkar,judai ki khabar hoti agar,1952,pop,fame fruit tree unsound flourish stock grind fame time fly die forget remember update ruin outdated style life memory happen long theatre sadness long forget easy stop wonder wonder safe womb everlasting night darkness brightest light safe place deep earth know truly forget remember update ruin outdated style fame fruit tree unsound flourish stock grind fame time fly die fruit tree fruit tree know rain worry stand stare go fruit tree fruit tree open eye year know go,78,0.001031992,0.001031992,0.362443413,0.056700607,0.001031992,0.001031992,0.001031992,0.058933447,0.043660222,0.001031992,0.001031992,0.407468329,0.001031992,0.001031992,0.001031992,0.029567139,0.435719701,0.524805784,0.998995983,0.648785425,0.229183842,0.18215664,world/life,0.971428571
73,lata mangeshkar,maagata maagata janm gele,1953,pop,help weakness hear drifter carry courtroom take away hasn pleasant time long know wrong judge cast robe aside tear come fail understand say outside crowd stir hear door inside judge step jury cry stop curse jury cry attendant nurse trial time worse bolt lightning strike courthouse shape rybody kneel pray drifter escape,52,0.001949318,0.339023117,0.001949318,0.120789502,0.001949318,0.001949318,0.001949318,0.173571011,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.001949318,0.297787801,0.001949318,0.384815336,0.554572725,0.981927693,0.694331984,0.402308326,0.284261931,violence,0.957142857
74,lata mangeshkar,chupke chupke (from ''paying guest''),1953,pop,choice life freedom voice government care health cigarettes liquor shelf propaganda feed hungry beast government best govern choice people voice anslinger shady lie congress say marijuana kill hemp fibers threaten paper mill,32,0.004048583,0.383725257,0.055999066,0.004048583,0.004048583,0.004048583,0.004048583,0.235732549,0.004048583,0.004048583,0.004048583,0.004048583,0.263814382,0.004048583,0.004048583,0.004048583,0.586266652,0.737199703,0.802208637,2.11E-05,0.679513603,0.49147561,violence,0.957142857
75,asha bhosle,chahe kitna mujhe tum bulao ji,1953,pop,hadn lonely awake wonder wide world save give lonely heart demand cupid take hand hadn,15,0.004385965,0.004385965,0.338890604,0.004385965,0.004385965,0.004385965,0.004385966,0.004385965,0.004385965,0.004385965,0.004385965,0.004385965,0.004385965,0.004385965,0.58654799,0.004385965,0.541860717,0.564341205,0.993975898,0.036336032,0.843363561,0.205180382,sadness,0.957142857
77,asha bhosle,tu bol na bol,1953,pop,touch lips spark fly devil lips know lie danger flame grow higher know surrender kiss like torch soul burn road return burn turn ash world crash kiss resist good try good deny desire kiss heart completely slave slave want pity pity lips lips borrow tonight devil tomorrow know kiss doom consume kiss resist good try good deny desire kiss heart completely slave slave want pity pity lips lips borrow tonight devil tomorrow know kiss doom consume kiss aaah burn,79,0.000974659,0.109766595,0.082102576,0.047504299,0.000974659,0.000974659,0.359558273,0.08461827,0.000974659,0.000974659,0.000974659,0.190711503,0.000974659,0.000974659,0.000974659,0.078255076,0.510451641,0.626003128,0.97590359,0.015587045,0.805234955,0.504489029,romantic,0.957142857
80,mukesh,raat andheri door savera,1953,pop,time feelin good time stoppin time livin high dust smilin onward thoughts away home travelin time settle satisfy wanderlust roam know havin good days gonna future look brighter past feel need worry reason memories remind maybe road life shin point diggin cities land extend welcome hand till morning time know havin good days gonna future look brighter past feel need worry reason memories remind maybe road life yeah yeah yeah yeah maybe road life road life yeah yeah yeah yeah yeah yeah yeah,83,0.00075188,0.00075188,0.414772423,0.00075188,0.204940275,0.00075188,0.00075188,0.095277016,0.00075188,0.00075188,0.108254146,0.037575534,0.00075188,0.00075188,0.00075188,0.099134733,0.489873281,0.385893393,0.987951795,0.116396761,0.390972795,0.150123607,world/life,0.957142857
84,ghantasala,thunintha pin,1953,pop,rebel runner signal turn green restless young romantic want machine problem poison know cure clean systems nature pure learn match beat world learn catch heat world mistake learn mend mess make know right young choose world weak lose world radio receiver tune factories farm writer ranger young bear arm problem power weapons patrol walk fine line selfcontrol try save world try pave world concern yesterday know constant change today know right weak choose wise world fool lose world learn match beat world learn catch heat world world,87,0.000877193,0.000877193,0.421308808,0.057732349,0.000877193,0.000877193,0.019333934,0.181323929,0.000877193,0.034582815,0.000877193,0.024780211,0.137958902,0.000877193,0.000877193,0.000877193,0.340409401,0.640745584,0.881525985,0.019635628,0.660964551,0.475459093,world/life,0.957142857
86,les paul,i'm sitting on top of the world,1953,pop,sit world roll roll quit blue world sing song sing song hallelujah phone parson ready like humpty dumpty ready fall sit world roll roll quit blue world sing song sing song,31,0.001879699,0.001879699,0.148560868,0.046503093,0.001879699,0.001879699,0.001879699,0.001879699,0.136184142,0.458624117,0.001879699,0.001879699,0.001879699,0.001879699,0.04090572,0.001879699,0.740062818,0.638489347,0.567268642,0.037145749,0.760923331,0.550536513,music,0.957142857
90,les paul,the world is waiting for the sunrise,1953,pop,dear world wait sunrise cover world wait sunrise heart call dear world wait sunrise little cover heart call thrush high sleepy mate call heart call,25,0.002631579,0.002631579,0.158437004,0.123255475,0.002631579,0.052751045,0.32573706,0.002631579,0.002631579,0.218281074,0.002631579,0.087327814,0.002631579,0.002631579,0.002631579,0.002631579,0.691324597,0.690075122,0.562248556,0.000300607,0.914468261,0.559545804,romantic,0.957142857
99,t. m. soundararajan,ethanai periya,1953,pop,watch world surround inside phone booth begin astound try couth say sunday cause rybody tellin truth monday yeah monday cause rybody drinkin vermouth lend hand kiss stand give away free acid joke smoke barely drive dusk headlights headphones tomorrow plan shop spree love hard like billboard grin toast life beauty head begin spin press cheek rainwashed streets weep reincarnation come december thirtyfirst worst time year think people like share beer have january explanations appear,74,0.001253133,0.066192206,0.335708478,0.001253133,0.027847337,0.001253133,0.059265973,0.001253133,0.001253133,0.001253133,0.382073898,0.001253133,0.05523891,0.058635603,0.001253133,0.001253133,0.449799632,0.763018229,0.931726839,0.00138664,0.788746908,0.529514836,world/life,0.957142857
100,talat mahmood,ansoo to nahin hai ankhon men,1953,pop,yeah dance ceiling dance floor people come door know party go dance romance night long know cold outside come baby satisfy time steal groove party party party baby house party come baby crazy soul know gonna lose control boogaloo want know cold outside come baby satisfy time steal groove party party party baby house party yeah yeah know baby know cold outside come baby satisfy time steal groove party party party baby house party say groove baby lose say roll stroll baby control party baby party baby party baby house party party party party party party party party come body party party come body,104,0.265570115,0.000537057,0.000537057,0.042248828,0.048934385,0.000537057,0.000537057,0.000537057,0.414400009,0.000537057,0.094683329,0.033427378,0.000537057,0.000537057,0.000537057,0.000537057,0.309000325,0.460067174,0.99297188,0.868421053,0.443528442,0.168142188,obscene,0.957142857
101,andy williams,it's the most wonderful time of the year,1953,pop,wonderful time year kid jingle bell tell good cheer wonderful time year haphappiest season holiday greet meet friends come haphappiest season party host marshmallows toast carol snow scary ghost stories tales glory christmases long long wonderful time year mistletoeing hearts glow love ones near wonderful time year party host marshmallows toast carol snow scary ghost stories tales glory christmases long long wonderful time year mistletoeing hearts glow love ones near wonderful time wonderful time wonderful time wonderful time year,79,0.001253133,0.060213629,0.001253133,0.323077296,0.001253133,0.001253133,0.105163748,0.001253133,0.089848805,0.260828415,0.001253133,0.086128353,0.038309609,0.001253133,0.001253133,0.022645683,0.194194736,0.655641874,0.778112227,0,0.718672712,0.554540642,night/time,0.957142857
102,lata mangeshkar,chandan ka palna resham ko dori,1954,pop,want know remember silly forget matter want need belong rest life marry wife wooo rest life marry wife wooo,19,0.003508772,0.003508772,0.791504748,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.003508772,0.447633489,0.499910263,0.987951795,4.35E-05,0.416735367,0.141114317,world/life,0.942857143
106,lata mangeshkar,le chal ri nindiya le chal hamen,1954,pop,stand stand walk jaw hell walk jaw hell anytime anytime stand wipe anytime wipe anytime anytime stand raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops raindrops,64,0.005847953,0.76442349,0.005847953,0.005847953,0.005847953,0.005847953,0.005847953,0.005847953,0.005847953,0.005847953,0.005847954,0.005847953,0.005847953,0.005847953,0.136161304,0.005847953,0.424888985,0.511063252,0.988955812,0.807692308,0.564097279,0.170144253,violence,0.942857143
